Site_ID,Lat,Lon,Total_Facilities,Diversity_Index,Facility_Types_List,Subtype_Diversity
1000048,51.58252,-0.2263111,5,3,"2, 7, 12, 12, 12",3
1000049,51.41172,-0.3049901,3,3,"2, 7, 12",3
1000050,51.39431,-0.03738806,12,6,"2, 4, 4, 6, 7, 7, 7, 12, 12, 12, 12, 13",10
1000051,51.46626,-0.20055,11,7,"2, 4, 5, 7, 7, 7, 12, 13, 17, 17, 17",8
1000054,51.61285,-0.1476588,4,3,"2, 7, 12, 12",4
1000055,51.59401,-0.1330041,4,3,"2, 7, 12, 12",3
1000056,53.55635,-2.233766,11,7,"2, 4, 4, 6, 7, 7, 12, 12, 12, 13, 17",10
1000057,51.54604,-0.1646236,4,3,"2, 7, 12, 12",3
1000059,53.47864,-2.250484,5,3,"2, 7, 12, 12, 12",3
1000060,52.03895,-0.760418,4,3,"2, 7, 12, 12",4
1000062,52.96878,-1.433406,7,5,"2, 7, 9, 9, 9, 12, 17",6
1000064,51.52374,-0.7164965,3,3,"2, 7, 12",3
1000065,53.73623,-0.3471652,7,5,"2, 4, 7, 12, 12, 12, 17",5
1000066,51.3583,0.4974369,4,3,"2, 7, 12, 12",3
1000067,53.74864,-3.031932,3,3,"2, 7, 13",3
