Site ID,Facility Type,Facility Subtype,Facility ID,Dimensions Estimate,Length,Width,Area,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Social Areas,Disability: Reception Area,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1011638,10,10001,2008732,0,21.0,14.0,294.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,1936,0,1,2000,0,0,,2,1,1,12,,,2025-03-07 14:58:03,1,330652,433403,53.79231,-3.054179,
1011638,10,10001,2008733,0,12.6,9.6,121.0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,2,,1936,0,1,2000,1,0,,3,1,1,12,2012-01-01,999,2024-01-03 15:13:34,1,330652,433403,53.79231,-3.054179,
1011639,10,10001,2008734,0,56.0,26.0,1456.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,Social Areas: Cafe only,1955,0,1,2025,1,1,2023,2,1,1,12,,,2025-11-19 10:43:37,1,434929,571408,55.03598,-1.455038,
1011640,10,10001,2008735,0,56.0,26.0,1456.0,3,,Greenwich Leisure Limited,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,0,,1984,0,1,2022,1,1,2022,2,1,1,12,,,2025-04-14 11:10:35,1,535630,186784,51.56363,-0.04464915,
1011641,10,10001,2008736,0,40.0,20.0,800.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,0,1,1,1,1,1,1,1,0,stair lift on site.,1970,0,1,2016,0,0,,2,1,1,12,,,2025-02-19 13:34:37,1,525883,180670,51.51094,-0.1873758,
1011643,10,10001,2008738,0,60.0,30.0,1800.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,1991,0,1,2005,1,0,,2,1,1,12,,,2025-09-15 11:01:13,1,368402,427490,53.74284,-2.480564,
1011644,10,10001,2008739,0,60.0,30.0,1800.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,1997,0,1,2014,1,1,2014,2,1,1,12,,,2025-09-15 11:19:17,1,484431,237790,52.03211,-0.7706575,
1011645,10,10001,2008740,0,56.0,28.0,1568.0,3,,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,1980,0,0,,1,1,2005,2,1,1,12,,,2025-09-15 11:27:50,1,516482,302278,52.60583,-0.2813462,
1011646,10,10001,2008741,0,60.0,30.0,1800.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,1987,0,1,2002,1,1,2013,2,1,1,12,,,2025-09-15 10:44:06,1,461485,152155,51.26524,-1.120115,
1011647,10,10001,2008742,0,56.0,28.0,1568.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,2000,0,0,,1,0,,2,1,1,12,,,2025-09-15 11:02:52,1,432879,278846,52.40666,-1.518103,
1011648,10,10001,2008743,0,60.0,30.0,1800.0,3,,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,2003,0,0,,1,0,,2,1,1,12,,,2025-04-16 13:59:15,1,438469,389402,53.40007,-1.422888,
1011648,10,10001,2008744,0,60.0,30.0,1800.0,3,,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,2003,0,0,,1,0,,2,1,1,12,,,2025-04-16 13:59:15,1,438469,389402,53.40007,-1.422888,
1011649,10,10001,2008745,0,57.0,27.0,1539.0,3,Check website opening times as varies week to week. ,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,Emergency Exits: Ramps,1964,0,1,2009,1,0,,2,1,1,12,,,2025-09-15 11:37:16,1,414673,283085,52.44555,-1.785543,
1011650,10,10001,2008746,0,52.0,31.0,1612.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,1978,0,1,2007,1,0,,2,1,1,12,,,2025-09-15 11:05:12,1,579437,166298,51.3674,0.5763672,
