Site ID,Facility Subtype,Facility ID,Rinks,Dimensions Estimate,Length,Width,Area,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1005381,3002,2008816,2,0,36.0,9.0,324.0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1991,0,1,2003,1,0,,2,1,1,12,2011-12-01,999,2024-01-11 08:38:30,1,577892,286321,52.44591,0.6161055,
1005394,3002,2008817,4,0,36.5,18.0,657.0,3,,Places Leisure,1986-01-23,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,Parking: 2 Parking Bays,1985,0,1,2010,1,1,2005,2,1,1,12,,,2025-03-25 09:55:50,1,629942,234122,51.95802,1.345305,
1005407,3002,2008818,7,0,36.5,33.2,1212.0,3,,Everyone Active,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,1,,1987,0,1,2002,1,1,2021,2,1,1,12,,,2025-06-11 10:56:55,1,603816,259115,52.1926,0.980563,
1005426,3002,2008819,4,0,36.0,21.6,778.0,5,,,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,0,1,1,2,,1971,0,1,2004,1,0,,2,1,1,12,2018-10-19,201,2019-02-05 13:28:46,1,390842,162115,51.35803,-2.132905,
1005444,3002,2008820,6,0,35.1,27.0,948.0,5,Closed 2011,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1976,0,1,2011,1,0,,3,1,1,12,2020-12-03,201,2020-12-04 03:53:55,1,414594,185428,51.56754,-1.790828,
1005464,3002,2008821,6,0,32.9,21.6,711.0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1973,0,0,,1,1,2005,3,1,1,12,2010-01-03,999,2010-03-24 00:00:00,1,487555,233960,51.9972,-0.7261089,
1005476,3002,2008822,6,0,37.0,28.0,1036.0,3,,,,,Sports Club / Community Association,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,0,1,1,,1974,0,1,2003,1,1,2003,2,1,1,12,,,2024-12-11 08:21:41,1,482851,212052,51.801,-0.7998595,
1005496,3002,2008823,6,0,33.5,27.6,925.0,5,,,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,0,1,2,,1975,0,1,2000,1,1,2007,2,1,1,12,2015-05-01,102,2020-11-11 18:06:42,1,485811,191457,51.61541,-0.7620157,
1005550,3002,2008824,4,0,36.5,18.4,672.0,3,,Freedom Leisure,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,0,1,1,0,1,0,"Finding/Reaching Entrance: Flat entry & electric doors, Doorways: Electric doors, Activity Areas: All activity areas have flat entry or lift / ramp",1974,0,0,,1,0,,2,1,1,12,,,2025-10-29 09:19:08,1,383645,218283,51.86289,-2.238906,
1005587,3002,2008825,4,0,35.0,20.0,700.0,3,,,,,Sports Club / Community Association,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,1975,0,1,2006,1,1,2016,2,1,1,12,,,2025-05-16 07:40:33,1,524978,409709,53.56913,-0.114236,
