Site ID,Facility Type,Facility Subtype,Facility ID,Courts,Surface Type,Overmarked,Overmarked Sports: Basketball,Overmarked Sports: Football,Overmarked Sports: Hockey,Overmarked Sports: Netball,Overmarked Sports: Other Sport,Operational Status Notes,Operational Status,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1011220,4,4004,2021755,2,5,2,2,2,2,2,2,,5,,,,Private Use,Private,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1922,1,1988,1,1,2018,2,1,1,12,2020-03-30,102,2023-10-23 10:34:18,1,524281,172158,51.43481,-0.2134327,
1011221,4,4004,2021756,4,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,0,1,1,0,Wide door entrance onto court for sports wheelchairs. ,1993,1,2007,1,0,,2,1,1,12,,,2025-07-29 12:20:17,1,484389,191370,51.61485,-0.7825695,
1011222,4,4004,2021757,2,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,0,1,0,"Parking: Raised slopes, Finding/Reaching Entrance: Raised slopes, Reception Area: Raised slopes, Social Areas: Chair lift, Spectator Areas: Chair lift, Emergency Exits: Raised slopes",1994,1,2001,1,0,,2,1,1,12,,,2025-03-11 12:20:14,1,504658,160105,51.33043,-0.4991645,
1011223,4,4001,2021758,8,1,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,0,1,0,1,1,2,"Finding/Reaching Entrance: Ramp, Emergency Exits: Ramps",1991,1,2011,1,1,2005,2,1,1,12,2017-12-01,102,2024-02-22 14:40:35,1,487327,290693,52.50716,-0.7147848,
1011224,4,4004,2021759,6,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,1,,1998,1,2016,1,1,2016,2,1,1,12,,,2025-05-30 10:33:57,1,341179,556040,54.89563,-2.918661,
1011225,4,4004,2021760,2,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Other,Others,1,1,1,1,1,0,1,0,0,1,0,,1993,1,2004,1,1,2009,2,1,1,12,,,2024-10-28 10:36:59,1,434584,334218,52.90431,-1.487261,
1011227,4,4002,2021762,4,3,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,,1996,0,,1,0,,2,2,9,4,2020-03-01,101,2023-09-18 13:07:42,1,487179,404157,53.52687,-0.6863744,
1011228,4,4002,2021763,3,4,2,2,2,2,2,2,Airhalls are used Sept-Apr.,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,0,0,0,0,0,0,0,0,0,Limited access.,1906,1,2023,1,1,2020,2,1,1,12,,,2025-12-08 13:14:10,1,513180,214087,51.81397,-0.3595326,
1011231,4,4004,2021767,2,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Sport Club,Others,1,0,1,1,1,1,1,1,1,1,0,Parking: 2 bays,1997,1,2007,1,1,2005,2,1,1,12,,,2024-10-31 21:06:21,1,408735,424194,53.71411,-1.869131,
1011233,4,4002,2021769,2,12,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,1,1,1,1,0,1,0,1,0,Lift,1886,1,2003,1,1,2011,2,2,10,3,,,2025-01-07 12:55:13,1,524223,177948,51.48685,-0.2122423,
