Site ID,Facility Type,Facility Subtype,Facility ID,Courts,Surface Type,Overmarked,Overmarked Sports: Basketball,Overmarked Sports: Football,Overmarked Sports: Hockey,Overmarked Sports: Netball,Overmarked Sports: Other Sport,Operational Status Notes,Operational Status,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1002374,4,4004,2026051,8,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,1995,0,,1,1,1998,2,1,1,12,,,2025-04-25 12:32:42,1,544902,190655,51.59611,0.09062006,
1011671,4,4004,2026054,4,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,0,1,0,,1994,1,2008,1,0,,2,1,1,12,,,2025-08-19 07:20:25,1,505959,165384,51.37763,-0.4789391,
30006834,4,4004,2026055,6,1,2,2,2,2,2,2,uses same surface as Australian Open - plexcushion- plastic hardcourt (as per website - 2025),3,,,,Registered Membership use,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,0,0,1,0,"Parking: 13 bays, Activity Areas: Hoist available in family changing room and poolside. 90% of fitness equipment is IFI standard",1994,1,2001,1,0,,2,1,1,12,,,2025-01-14 09:52:04,1,338530,389100,53.39515,-2.925864,
1013916,4,4003,2026056,3,4,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,0,,1983,1,2006,1,1,2003,3,1,1,12,2015-09-01,999,2023-12-13 14:09:00,1,335478,395624,53.45342,-2.973083,
1005139,4,4004,2026064,6,1,2,2,2,2,2,2,,3,Greenwich Leisure Limited,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,1,"Parking: Disabled parking bays, Reception Area: Induction loop, Doorways: Automatic & double doors",2002,1,2011,1,0,,2,1,1,12,,,2025-04-16 12:28:51,1,451228,197461,51.6736,-1.26056,
1003466,4,4001,2026065,1,1,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,2003,0,,1,1,2010,3,1,1,12,2013-04-01,999,2014-05-06 00:00:00,1,571170,336770,52.90113,0.5434836,
1003466,4,4004,2026066,2,5,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,2003,0,,1,1,2010,3,1,1,12,2013-04-01,999,2014-05-06 00:00:00,1,571170,336770,52.90113,0.5434836,
1013907,4,4004,2026068,4,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,"Parking, toilets, access to courts",1993,1,2022,1,1,2013,2,1,1,12,,,2025-01-24 16:34:56,1,463675,99840,50.79462,-1.097911,
1006817,4,4004,2026070,4,7,2,2,2,2,2,2,,3,GLL,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1991,1,2007,1,0,,2,1,1,12,,,2025-04-16 10:58:44,1,525675,165869,51.37797,-0.1956216,
1005432,4,4004,2026072,5,1,2,2,2,2,2,2,,3,Downton Leisure Centre,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,1,,1996,1,2021,1,1,2020,2,1,1,12,,,2025-12-12 09:38:38,1,416720,121548,50.99308,-1.763127,
1013914,4,4004,2026074,2,1,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,2,,1960,1,2006,1,0,,2,1,1,12,2017-08-01,101,2017-08-04 10:05:10,1,293242,64690,50.47227,-3.505776,
1003728,4,4004,2026078,3,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,0,1,0,,2003,1,2010,1,1,2006,2,1,1,12,,,2025-02-11 10:39:56,1,580317,188622,51.56765,0.6003638,
1000025,4,4002,2026156,3,3,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,Parking: 6 Bays,1989,1,2003,1,1,2012,2,1,1,12,,,2025-04-09 20:42:20,1,511145,178386,51.4935,-0.4003802,
1011274,4,4002,2026162,2,1,2,2,2,2,2,2,,5,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,1,1,0,1,0,0,1,0,2,,1996,1,2006,1,1,2005,2,1,1,12,2016-07-19,103,2016-07-19 15:01:06,1,525571,187513,51.57252,-0.189428,
1000115,4,4002,2026181,2,5,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2004,1,2010,1,1,2011,2,1,1,12,,,2024-11-06 12:17:37,1,429693,438696,53.84368,-1.550204,
1013869,4,4004,2026254,1,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,0,1,1,1,1,0,0,0,0,0,,1974,1,2003,1,1,2006,2,1,1,12,,,2025-02-06 09:55:58,1,551631,102706,50.80408,0.1505762,
1000406,4,4002,2026838,1,4,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,,2003,1,2007,1,1,2006,2,1,1,12,,,2025-01-29 08:19:42,1,560656,188641,51.57375,0.3169549,
1103563,4,4004,2027126,3,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,0,1,0,,2006,1,2015,1,0,,2,1,1,12,,,2025-10-01 10:09:51,1,617889,157938,51.27891,1.122832,
1011143,4,4004,2027241,2,4,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,0,1,1,1,1,0,,2004,1,2008,1,0,,2,1,1,12,,,2025-03-14 10:55:02,1,567185,171705,51.4197,0.4030664,
1103607,4,4001,2027295,3,1,2,2,2,2,2,2,Over marked with netball.,5,,,,Pay and Play,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,1,1,1,0,,2003,1,2013,1,1,2015,2,1,1,12,2023-07-05,102,2023-01-24 12:12:47,1,354915,173201,51.45598,-2.650273,
1014172,4,4001,2027357,2,1,2,2,2,2,2,2,,5,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,1,1,1,1,1,0,0,0,0,,1996,1,2003,1,0,,2,1,1,12,2025-09-01,101,2025-09-29 15:20:01,1,507701,204581,51.72962,-0.4419283,
1004044,4,4001,2027369,3,9,2,2,2,2,2,2,,5,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,,2004,1,2010,1,1,2005,2,1,1,12,2024-07-01,102,2024-11-27 13:00:21,1,473742,285968,52.4667,-0.9159377,
1008789,4,4004,2027655,3,10,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,0,1,0,,1984,1,2005,1,0,,2,1,1,12,,,2025-11-28 16:15:49,1,553207,154098,51.26545,0.1946304,
1008585,4,4004,2027942,3,5,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,2,,2007,0,,1,1,2007,2,1,1,12,2015-12-18,201,2022-01-11 15:20:27,1,415985,186763,51.57951,-1.770698,
1004079,4,4004,2027972,4,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,0,1,0,"Ramps, Rails",2006,0,,1,1,2006,2,1,1,12,,,2025-10-07 20:38:22,1,459303,301273,52.60603,-1.125729,
1001122,4,4004,2028622,7,5,2,2,2,2,2,2,2 of the courts are overmarked for badminton.,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2005,0,,1,0,,2,1,1,12,,,2025-11-03 10:00:58,1,553617,189606,51.58438,0.2158972,
1009886,4,4002,2028734,1,9,2,2,2,2,2,2,,3,,,,Private Use,Private,School/College/University (in house),Education,1,1,1,1,1,1,1,1,1,1,0,,2004,0,,1,1,2015,2,1,1,12,,,2025-07-30 10:27:53,1,351884,137988,51.13912,-2.689135,
1009191,4,4004,2028881,5,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,,2005,1,2017,1,1,2016,2,1,1,12,,,2025-09-17 13:38:07,1,585147,188598,51.56586,0.669961,
1007857,4,4003,2029379,6,5,2,2,2,2,2,2,The indoor Tennis court is overmarked.,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,,2006,0,,1,1,2017,2,1,1,12,,,2025-10-16 13:47:12,1,453982,298411,52.58087,-1.204755,
1014742,4,4001,2029466,2,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,0,0,0,0,0,0,0,0,0,0,2,,1989,1,2013,1,1,2003,2,1,1,12,,,2026-01-09 11:02:13,1,451787,302655,52.61922,-1.236483,
1014756,4,4002,2029486,2,3,2,2,2,2,2,2,Artificial sports lighting,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,0,0,0,0,0,0,0,0,0,0,0,,1990,0,,1,1,2005,2,1,1,12,,,2025-06-13 09:44:16,1,460159,301427,52.60732,-1.113063,
1014810,4,4004,2029569,2,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,1,1,1,1,1,1,1,1,0, Defibrillator on site ,2006,1,2012,1,1,2015,2,1,1,12,,,2025-10-21 18:30:18,1,499062,208202,51.76376,-0.5659407,
1013899,4,4004,2029610,5,5,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,Parking: 10 bays,2005,0,,1,1,2014,2,1,1,12,,,2025-01-29 09:24:40,1,566980,155736,51.2763,0.3926341,
1014703,4,4002,2038200,3,3,2,2,2,2,2,2,"Re-opened on Active Places 24/05/2017
Airhall used during winter only. Courts floodlit.",5,,,,Pay and Play,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,1,1,1,0,,2005,0,,1,1,2005,2,1,1,12,2025-07-18,999,2025-07-22 11:09:35,1,377253,508812,54.47416,-2.352526,
1208152,4,4003,2038388,3,3,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,1,1,1,0,,2006,0,,1,0,,2,1,1,12,,,2025-01-15 11:59:48,1,395846,244787,52.10141,-2.062051,
1001406,4,4002,2039309,2,3,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Sport Club,Others,1,0,1,1,1,0,0,1,1,0,0,,2005,0,,1,1,2008,2,1,1,12,,,2025-02-21 09:50:17,1,519127,167431,51.39342,-0.2891349,
1000083,4,4002,2039712,4,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,Lift.,2007,0,,1,0,,2,1,1,12,,,2026-01-02 12:29:16,1,515410,298098,52.5685,-0.2986249,
1203986,4,4003,2040169,4,3,2,2,2,2,2,2,"Re-opened on Active Places 22/02/2018
It's operational 
",3,,,,Pay and Play,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,0,1,1,,2005,1,2019,1,1,2010,2,1,1,12,,,2025-11-27 08:53:51,1,253281,56822,50.39292,-4.065495,
1010048,4,4004,2070616,3,1,2,2,2,2,2,2,3 courts are floodlit. ,3,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,0,1,0,,2005,0,,1,0,,2,1,1,12,,,2025-09-01 11:55:00,1,336630,396159,53.45837,-2.955854,
1009810,4,4001,2071456,3,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,2006,1,2015,1,1,2015,2,1,1,12,,,2025-11-06 12:50:29,1,291107,64010,50.46576,-3.535663,
1036025,4,4004,2071794,3,1,2,2,2,2,2,2,Indoor courts are marked but not overmarked.,3,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2005,1,2006,1,0,,2,1,1,12,,,2025-07-29 08:54:15,1,521761,231410,51.96785,-0.2289889,
1036181,4,4002,2073253,2,3,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,0,1,0,0,0,,2000,1,2007,1,1,2006,2,1,1,12,,,2025-10-16 10:11:00,1,623140,219419,51.82881,1.236973,
1036203,4,4004,2073299,2,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Sport Club,Others,1,0,1,1,1,1,1,1,1,0,0,,2002,0,,1,1,2007,2,1,1,12,,,2024-12-18 12:06:24,1,397957,339911,52.95658,-2.031856,
1010077,4,4004,2074684,3,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,0,1,1,1,0,0,1,0,0,0,,2003,0,,1,0,,2,1,1,12,,,2025-04-14 08:03:49,1,585969,189110,51.57019,0.6820778,
1011261,4,4004,2074931,4,3,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,0,1,1,1,1,1,1,0,1,0,,2007,0,,1,1,2010,2,1,1,12,,,2025-08-26 07:50:24,1,478521,137940,51.13536,-0.8790842,
1037084,4,4004,2077100,6,5,2,2,2,2,2,2,,3,,,,Private Use,Private,Commercial Management,Commercial,1,0,1,1,1,0,1,1,0,1,0,,1995,1,2010,0,0,,2,1,1,12,,,2025-11-03 12:15:55,1,255993,94280,50.73023,-4.041875,
1005079,4,4004,2077981,4,1,2,2,2,2,2,2,,3,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2007,0,,1,0,,2,1,1,12,,,2025-10-27 11:30:02,1,504802,483690,54.23821,-0.3934819,
1037531,4,4004,2078757,3,3,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,0,1,0,Parking: 2 Disabled Bays,2007,0,,1,0,,2,1,1,12,,,2025-07-17 10:12:08,1,350714,386580,53.37379,-2.74225,
1037551,4,4004,2079100,6,1,2,2,2,2,2,2,,3,,,,Private Use,Private,Other,Others,1,1,1,1,1,1,1,1,1,1,0,"Parking: 6 bays, Reception Area: Induction Loop",2007,0,,1,0,,2,1,1,12,,,2025-03-10 13:46:01,1,521424,174888,51.45995,-0.2535854,
1011263,4,4001,2079125,3,7,2,2,2,2,2,2,changing rooms refurbished in 2006.,3,,,,Registered Membership use,Public Access,Other,Others,1,1,1,1,1,1,0,0,0,1,0,,2008,0,,1,0,,2,1,1,12,,,2025-11-04 10:54:06,1,487191,210072,51.78254,-0.7374307,
1002666,4,4004,2079126,3,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,2007,0,,1,0,,2,1,1,12,,,2024-10-31 12:15:38,1,427915,568517,55.01045,-1.565058,
1008585,4,4003,2079262,3,1,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,2,,2007,0,,1,1,2007,2,1,1,12,2015-12-18,201,2022-01-11 15:20:27,1,415985,186763,51.57951,-1.770698,
1011524,4,4004,2079378,4,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,1,1,1,0,,2008,0,,1,0,,2,1,1,12,,,2025-07-08 15:07:12,1,429646,276726,52.38779,-1.565809,
1036263,4,4003,2079458,1,3,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,1972,1,2007,1,1,2008,2,1,1,12,,,2025-11-06 09:47:35,1,286386,71523,50.5324,-3.604442,
1037863,4,4004,2080000,2,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,0,1,1,1,0,1,0,1,1,0,,2005,0,,0,0,,2,1,1,12,,,2025-09-30 10:46:42,1,613730,157724,51.27856,1.063163,
1037898,4,4001,2080074,3,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Sport Club,Others,1,1,1,1,1,0,1,0,0,1,0,,2005,0,,1,0,,2,1,1,12,,,2025-10-02 11:11:43,1,523628,272543,52.33706,-0.1868899,
1037899,4,4002,2080075,3,3,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Sport Club,Others,1,0,0,1,1,1,1,0,1,0,0,,2005,0,,1,0,,2,1,1,12,,,2025-11-22 14:35:03,1,563441,262987,52.24082,0.3923435,
1037901,4,4002,2080078,3,3,2,2,2,2,2,2,"Airhall in use Oct-April. 
Cover damaged by Storm Dennis (2020)",3,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,1,1,1,1,1,1,0,1,0,"Site has disable access to clubhouse, courts, toilet facilities",1986,1,2006,1,1,2020,2,2,10,3,,,2025-02-18 12:50:38,1,506069,250277,52.14063,-0.4514755,
1037902,4,4002,2080079,1,7,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Community Organisation,Others,1,0,1,1,1,1,1,1,1,1,0,Ramps,1979,0,,1,1,2012,2,1,1,12,,,2025-01-03 13:00:08,1,517884,169992,51.4167,-0.3061398,
1037902,4,4002,2080080,1,3,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Community Organisation,Others,1,0,1,1,1,1,1,1,1,1,0,Ramps,1979,0,,1,1,2012,2,1,1,12,,,2025-01-03 13:00:08,1,517884,169992,51.4167,-0.3061398,
1001516,4,4004,2080437,4,3,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Sport Club,Others,1,0,1,1,1,1,1,1,0,0,0,,2010,0,,1,1,2018,2,1,1,12,,,2025-02-20 12:28:58,1,447030,130503,51.07193,-1.330109,
1000021,4,4004,2080883,7,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2008,0,,1,0,,2,1,1,12,,,2024-10-28 13:41:12,1,513163,197313,51.66322,-0.3652291,
1008087,4,4004,2081413,4,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,School/College/University (in house),Education,1,0,1,1,1,1,1,0,1,1,0,,2009,0,,1,0,,2,1,1,12,,,2025-09-04 15:39:30,1,583189,270392,52.30111,0.685263,
1006759,4,4001,2081440,4,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,1,1,1,0,,2008,0,,1,0,,2,1,1,12,,,2025-07-28 11:52:37,1,613712,310070,52.64627,1.157653,
1000036,4,4002,2082330,3,1,2,2,2,2,2,2,,5,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,2,,2008,0,,1,0,,2,1,1,12,2016-01-25,999,2023-06-29 14:36:06,1,521192,176608,51.47547,-0.2563225,
1038723,4,4001,2082539,4,1,2,2,2,2,2,2,,3,,2008-05-17,,Sports Club / Community Association,Public Access,Community Organisation,Others,1,1,1,1,1,1,1,1,0,1,1,,2008,1,2010,1,0,,2,1,1,12,,,2025-08-06 09:06:59,1,535940,211060,51.78171,-0.03072686,
1011219,4,4001,2082666,2,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2008,0,,1,1,2009,2,1,1,12,,,2025-05-07 09:42:14,1,432189,381153,53.32634,-1.518179,
1000024,4,4002,2082974,5,4,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,Parking: 5 Bays,1989,0,,1,1,2012,2,1,1,12,,,2025-01-06 08:53:31,1,526608,191361,51.60687,-0.1730804,
1100529,4,4001,2084386,5,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2008,0,,1,1,2009,2,1,1,12,,,2025-10-31 16:02:07,1,520676,176258,51.47243,-0.2638754,
1006759,4,4004,2084656,4,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,1,1,1,0,,2009,0,,1,0,,2,1,1,12,,,2025-07-28 11:52:37,1,613712,310070,52.64627,1.157653,
1002925,4,4001,2085301,4,1,2,2,2,2,2,2,,3,GLL,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,2009,0,,1,1,2017,2,1,1,12,,,2025-04-16 10:50:47,1,523342,211738,51.79071,-0.2130262,
1008041,4,4001,2086821,2,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,0,1,1,1,1,1,0,1,1,0,,2003,0,,1,1,2011,2,1,1,12,,,2025-04-01 10:08:51,1,442019,445070,53.90012,-1.362009,
1039764,4,4004,2087701,2,3,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,0,1,1,0,0,0,1,0,,1970,1,2012,1,1,2012,2,1,1,12,,,2025-10-16 11:47:54,1,389912,334167,52.90486,-2.151429,
1203778,4,4002,2096380,1,1,2,2,2,2,2,2,,5,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,0,1,1,1,1,1,0,0,1,2,,2005,0,,1,0,,2,1,1,12,2016-07-01,999,2016-07-15 12:03:01,1,386089,180024,51.51896,-2.201876,
1207086,4,4001,2098254,4,3,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,0,1,0,,2008,0,,1,1,2008,2,1,1,12,,,2025-12-14 16:51:09,1,177621,34417,50.16796,-5.115385,
1204578,4,4001,2215091,2,3,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,1,1,0,,1996,0,,1,1,2015,2,1,1,12,,,2024-10-17 08:14:28,1,513289,161018,51.33698,-0.3750521,
1000226,4,4004,4021640,2,1,2,2,2,2,2,2,,5,,,,Registered Membership use,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1995,0,,1,2,,3,1,1,12,2005-12-01,999,2006-03-13 00:00:00,1,537864,179439,51.49709,-0.01531281,
1000831,4,4001,4021663,4,5,2,2,2,2,2,2,,5,,,,Registered Membership use,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,2001,0,,1,2,,3,1,1,12,2007-02-01,999,2023-08-09 12:35:45,1,535333,207211,51.74726,-0.04103253,
1001542,4,4004,4021671,2,1,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1994,2,,1,2,,3,1,1,12,2004-09-01,999,2005-03-11 00:00:00,1,588054,241068,52.03614,0.7402974,
1005311,4,4001,4021718,4,1,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1991,1,2003,1,1,2006,3,1,1,12,2007-07-20,999,2007-07-16 00:00:00,1,623745,307193,52.61641,1.303745,
1011212,4,4002,4021745,4,7,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,2002,0,,1,1,2005,3,1,1,12,2005-12-01,999,2023-12-04 10:18:51,1,451245,516616,54.54223,-1.209438,
1011260,4,4001,4021798,2,3,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1958,1,1998,1,0,,3,1,1,12,2008-01-01,999,2023-10-25 15:51:59,1,507146,430947,53.76389,-0.3760727,
1011261,4,4001,4021799,2,3,2,2,2,2,2,2,,5,,,,Sports Club / Community Association,Public Access,Not Known,Not Known,1,0,1,1,1,1,1,1,0,1,0,,1987,0,,1,2,,2,1,1,12,2007-05-01,999,2024-02-22 11:58:41,1,478521,137940,51.13536,-0.8790842,
1011277,4,4002,4021816,2,3,2,2,2,2,2,2,,5,,,,Sports Club / Community Association,Public Access,Not Known,Not Known,1,1,1,1,1,1,1,1,1,1,2,,1992,0,,1,1,2002,2,1,1,12,2005-08-01,999,2024-02-28 10:47:13,1,426686,322929,52.80328,-1.605601,
1013910,4,4002,4026041,2,10,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1934,1,1980,1,0,,3,1,1,12,2008-10-01,999,2008-10-28 00:00:00,1,440727,354961,53.09034,-1.393329,
1013912,4,4002,4026059,3,1,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1985,1,2002,1,0,,3,1,1,12,2008-02-01,999,2008-08-19 00:00:00,1,474600,318800,52.76168,-0.8959235,
1013906,4,4002,4026063,3,10,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1992,1,2004,1,2,,3,1,1,12,2006-01-01,999,2006-01-09 00:00:00,1,476300,261600,52.24731,-0.8838254,
1004901,4,4001,4029104,3,1,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1988,2,,1,2,,3,1,1,12,2005-03-01,999,2023-07-28 14:37:11,1,545927,255513,52.17859,0.1328218,
1019149,4,4004,4040086,3,10,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2012,0,,1,0,,2,1,1,12,,,2025-02-11 14:08:13,1,389083,257559,52.21615,-2.161188,
1035909,4,4004,4070883,2,1,2,2,2,2,2,2,,5,,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,2010,0,,1,1,2020,2,1,1,12,2016-08-31,101,2023-11-01 15:00:17,1,544994,209781,51.76794,0.09988455,
1039386,4,4004,4085492,4,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,2014,0,,1,0,,2,1,1,12,,,2025-03-10 12:20:20,1,537740,185717,51.55354,-0.01464454,
1040160,4,4004,4090088,4,1,2,2,2,2,2,2,,3,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,2010,0,,1,0,,2,1,1,12,,,2025-02-04 10:09:48,1,532414,389470,53.38551,-0.01054399,
1042031,4,4004,4099931,1,9,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,2007,0,,1,0,,2,1,1,12,,,2025-02-18 09:02:47,1,494623,141370,51.16376,-0.6481056,
